#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-06-15T13:04:41 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-06-15T13:04:41	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-order=I&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-out.src=J/A+A/625/A14/table5&-source=J/A+A/625/A14/table5&-out=SourceId&-out=RA_ICRS&-out=DE_ICRS&-out=o_Gmag&-out=o_GBPmag&-out=o_GRPmag&-out=Per&-out=Gmag&-out=GBPmag&-out=GRPmag&-out=Plx&-out=e_Plx&-out=E(BP/RP)&-out=epsi&-out=Signiepsi&-out=RUWE&-out=Class&-out=New&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36250014
#Name: J/A+A/625/A14
#Title: Reclassification of Cepheids in the Gaia DR2 (Ripepi+, 2019)
#INFO	ivoid=ivo://cds.vizier/j/a+a/625/a14	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/625/a14	    IVOID of underlying data collection
#INFO	creator=Ripepi V.	    First author or institution
#INFO	cites=bibcode:2019A&A...625A..14R	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2019	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/625/A14	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36250014	    Dataset identifier that can be used for citation
#INFO	publication_date=2020-02-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2015.500:	ICRS
#Table	J_A_A_625_A14_table5:
#Name: J/A+A/625/A14/table5
#Title: Reclassification of the Cepheids in Gaia DR2
#Column	SourceId	(I19)	Gaia DR2 source identification	[ucd=meta.id;meta.main]
#Column	RA_ICRS	(F9.5)	Right ascension (ICRS) at epoch 2015.5	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F9.5)	Declination (ICRS) at epoch 2015.5	[ucd=pos.eq.dec;meta.main]
#Column	o_Gmag	(I3)	Number of epochs in G	[ucd=meta.number]
#Column	o_GBPmag	(I3)	Number of epochs in GBP	[ucd=meta.number]
#Column	o_GRPmag	(I3)	Number of epochs in GRP	[ucd=meta.number]
#Column	Per	(F11.6)	Period	[ucd=time.period]
#Column	Gmag	(F6.3)	Intensity averaged magnitudes in G	[ucd=phot.mag;em.opt]
#Column	GBPmag	(F6.3)	Intensity averaged magnitudes in GBP	[ucd=phot.mag;em.opt.B]
#Column	GRPmag	(F6.3)	Intensity averaged magnitudes in GRP	[ucd=phot.mag;em.opt.R]
#Column	Plx	(F7.3)	Parallax	[ucd=pos.parallax]
#Column	e_Plx	(F6.3)	Error on parallax	[ucd=stat.error;pos.parallax]
#Column	E(BP/RP)	(F6.3)	Excess of flux in the BP and RP integrated photometry with respect to the G band	[ucd=phot.flux;arith.ratio]
#Column	epsi	(F6.3)	Excess noise of the source	[ucd=stat.fit.param]
#Column	Signiepsi	(F8.3)	Significance of epsi	[ucd=stat.fit.goodness]
#Column	RUWE	(F6.3)	Renormalised unit weight error	[ucd=phys.atmol.weight]
#Column	Class	(a13)	Variability classification from from present work	[ucd=meta.code;src.var]
#Column	New	(A1)	[N] Flag "N" to denote a cepheid not known in the literature	[ucd=meta.code]
SourceId;RA_ICRS;DE_ICRS;o_Gmag;o_GBPmag;o_GRPmag;Per;Gmag;GBPmag;GRPmag;Plx;e_Plx;E(BP/RP);epsi;Signiepsi;RUWE;Class;New
4189050211325803008;299.56897;-12.07101; 28; 26; 26;   1.993980;17.748;18.071;17.215;  0.087; 0.144; 1.271; 0.326;   1.450; 1.066;DCEP_F       ;N
6723719246886877440;277.60780;-39.85986; 13; 12; 12;   1.998830;12.260;13.263;11.261;  0.164; 0.040; 1.372; 0.000;   0.000; 0.990;DCEP_1O      ;
5606634988063582848;109.96244;-28.79174; 30; 28; 27;   1.999370;12.519;12.893;11.974;  0.129; 0.030; 1.224; 0.000;   0.000; 0.982;DCEP_1O      ;N
 252595410453952384;067.62787;+43.65313; 22; 22; 23;   1.999470;13.060;14.008;12.091;  0.193; 0.034; 1.345; 0.096;   2.597; 1.092;DCEP_F       ;
6073329329911803136;190.44691;-55.85247; 59; 59; 58;   2.003470;13.713;14.300;12.972;  0.162; 0.025; 1.270; 0.000;   0.000; 0.973;BLHER        ;
5864085979393757824;203.27370;-64.58181; 39; 35; 36;   2.006210;15.531;16.467;14.522;  0.002; 0.036; 1.382; 0.000;   0.000; 1.017;DCEP_1O      ;N
5406720409514852352;152.68706;-50.15948; 36; 36; 36;   2.006310;11.887;12.345;11.277;  0.118; 0.033; 1.228; 0.000;   0.000; 1.022;DCEP_1O      ;
5928285810456681344;247.54255;-57.33140; 26; 26; 26;   2.006650;13.638;14.084;13.010;  0.066; 0.027; 1.253; 0.000;   0.000; 0.912;DCEP_F       ;
2367033515654862720;004.81718;-18.07524; 28; 29; 27;   2.006830;14.974;15.254;14.514;  0.024; 0.046; 1.223; 0.000;   0.000; 1.037;BLHER        ;
6387613733574110080;347.49420;-69.22908; 28; 23; 24;   2.008560;15.922;16.324;15.353;  0.405; 0.042; 1.220; 0.000;   0.000; 1.062;OTHER        ;
3418697936444956672;076.32301;+23.93719; 20; 19; 19;   2.010100;13.814;14.303;13.156;  0.102; 0.029; 1.249; 0.000;   0.000; 1.051;ACEP_F       ;
5594087803735560704;119.67946;-33.58976; 35; 30; 31;   2.013370;11.872;12.112;11.281;  0.203; 0.025; 1.261; 0.000;   0.000; 0.990;OTHER        ;
1191865661005663744;240.20019;+14.02273; 34; 33; 34;   2.016590;15.867;16.334;15.207; -0.105; 0.129; 1.269; 0.724;  43.600; 2.264;OTHER        ;
 182584011855776384;082.84891;+34.22982; 15; 12; 12;   2.018200;15.135;15.832;14.317;  0.365; 0.060; 1.369; 0.000;   0.000; 1.113;OTHER        ;
5717854265702401792;118.15212;-17.38354; 39; 33; 36;   2.018870;11.913;12.262;11.403;  0.357; 0.033; 1.271; 0.000;   0.000; 1.177;BLHER        ;
5858749121746467456;197.53034;-65.31814; 41; 37; 39;   2.022350;14.709;15.405;13.878;  0.044; 0.024; 1.296; 0.000;   0.000; 1.071;DCEP_1O      ;N
6858533464239636736;312.16947;-18.55424; 38; 38; 37;   2.024730;17.462;17.619;17.012;  0.018; 0.116; 1.268; 0.000;   0.000; 0.988;BLHER        ;
5851830444814064512;206.04645;-65.60886; 36; 30; 30;   2.027290;15.840;16.510;14.951;  0.051; 0.038; 1.343; 0.000;   0.000; 0.939;DCEP_F       ;N
5251623535508264064;156.10874;-64.71312; 29; 25; 26;   2.028420;12.491;12.953;11.869;  0.061; 0.024; 1.221; 0.000;   0.000; 0.932;DCEP_1O      ;N
5606839187987683840;109.04185;-28.05861; 32; 25; 26;   2.030170;14.607;14.999;14.101;  0.046; 0.022; 1.205; 0.000;   0.000; 0.944;BLHER        ;
5322072960659445760;129.57544;-50.47626; 23; 25; 25;   2.030430;15.390;16.230;14.434;  0.025; 0.031; 1.369; 0.000;   0.000; 0.986;DCEP_1O      ;N
4640289096166011392;040.62046;-74.72156; 32; 31; 28;   2.030780;16.163;16.414;15.735; -0.019; 0.034; 1.216; 0.054;   0.194; 1.077;DCEP_1O      ;
5590867853875570944;110.08924;-34.50198; 28; 25; 23;   2.035810;14.051;14.382;13.515;  0.037; 0.019; 1.231; 0.000;   0.000; 1.083;ACEP_F       ;N
5543722994310379136;125.64924;-34.40031; 33; 32; 31;   2.039700;14.326;14.881;13.596;  0.040; 0.021; 1.260; 0.000;   0.000; 1.039;DCEP_1O      ;N
4190528813947695232;298.45948;-09.93928; 35; 35; 34;   2.040030;14.234;14.620;13.671;  0.070; 0.027; 1.230; 0.000;   0.000; 0.968;DCEP_1O      ;
2928096226097916160;109.16266;-22.18043; 57; 53; 52;   2.044020;14.727;15.462;13.872;  0.018; 0.029; 1.293; 0.000;   0.000; 0.931;DCEP_F       ;
5322875157471168768;129.59122;-49.81203; 27; 21; 21;   2.044720;15.129;15.925;14.315;  0.061; 0.029; 1.353; 0.000;   0.000; 0.996;DCEP_F       ;
1750217486861133440;313.52030;+08.55153; 24; 24; 24;   2.046830;12.188;12.461;11.752;  0.141; 0.034; 1.216; 0.000;   0.000; 1.067;ACEP_F       ;
3019875313517493504;093.20980;-06.21986; 17; 16; 15;   2.057780;14.041;14.865;13.119;  1.082; 0.033; 1.396; 0.000;   0.000; 1.175;OTHER        ;
5865696111026148096;205.51295;-62.10247; 47; 45; 43;   2.059710;14.653;15.038;14.088;  0.345; 0.026; 1.230; 0.000;   0.000; 1.003;OTHER        ;
6217308590845895680;221.64020;-32.17092; 25; 23; 23;   2.060650; 8.287; 8.641; 7.793;  1.718; 0.076; 1.160; 0.000;   0.000; 0.893;BLHER        ;
5245796334347122944;150.01533;-66.27623; 31; 30; 30;   2.063440; 8.091; 8.525; 7.541;  0.858; 0.026; 1.200; 0.000;   0.000; 0.999;DCEP_1O      ;
5930925527370195968;250.93427;-52.68463; 31; 26; 23;   2.064700;14.177;14.475;13.364;  1.078; 0.548; 1.424; 3.718;2959.407;21.589;---          ;
5859972946880769408;189.52856;-66.38308; 35; 15; 15;   2.065400;15.013;15.577;14.312;  0.110; 0.027; 1.242; 0.000;   0.000; 1.076;DCEP_F       ;
4636099402811865344;019.45728;-76.56544; 26; 22; 23;   2.067700;16.800;17.105;16.316; -0.023; 0.068; 1.239; 0.174;   0.962; 1.101;DCEP_F       ;
3054600330268450560;111.10215;-07.85545; 41; 39; 34;   2.071310;10.149;10.569; 9.590;  0.225; 0.039; 1.211; 0.000;   0.000; 0.920;DCEP_1O      ;
1248397910338129664;206.21860;+19.47084; 26; 27; 26;   2.077480;14.715;14.958;14.322; -0.053; 0.034; 1.220; 0.000;   0.000; 1.033;BLHER        ;
5978070288281380096;255.51398;-34.69598; 27; 19; 18;   2.078140;16.171;16.679;15.388;  0.180; 0.098; 1.400; 0.199;   2.307; 1.214;OTHER        ;
5239856600757862528;160.77275;-64.15514; 29; 25; 25;   2.080020;16.094;16.514;15.426;  0.054; 0.039; 1.266; 0.000;   0.000; 1.048;OTHER        ;
2452244051899841024;025.34869;-16.38496; 27; 26; 27;   2.084910;14.389;14.707;13.930;  0.075; 0.032; 1.222; 0.000;   0.000; 1.073;BLHER        ;
6734367261085169408;275.90249;-35.76457; 16; 16; 13;  14.063710;11.836;12.197;11.316;  0.072; 0.046; 1.273; 0.000;   0.000; 1.220;WVIR         ;
6379917835078618752;359.03700;-73.64989; 28; 25; 26;   2.088190;17.150;17.320;16.705;  0.128; 0.067; 1.272; 0.000;   0.000; 1.009;DCEP_F       ;
5211831178906807040;093.60903;-79.18168; 27; 28; 28;   2.091820;16.739;16.982;16.241; -0.142; 0.062; 1.246; 0.174;   1.220; 1.093;DCEP_F       ;
2195158098523149312;310.87509;+61.75625; 42; 42; 41;   2.099460;14.315;14.850;13.593;  0.031; 0.019; 1.275; 0.000;   0.000; 1.008;DCEP_1O      ;N
3398383973788673024;086.41888;+18.65688; 18; 18; 18;   2.102400; 7.877; 8.285; 7.348;  0.805; 0.053; 1.172; 0.000;   0.000; 0.862;DCEP_1O      ;
6405145309039919488;337.49263;-62.82192; 38; 34; 33;   2.109620;16.998;17.650;16.188;  0.209; 0.071; 1.300; 0.042;   0.058; 1.050;OTHER        ;
1328059413265281920;250.44988;+36.48603; 32; 30; 30;   2.113000;13.938;14.191;13.439;  0.014; 0.019; 1.248; 0.000;   0.000; 1.153;BLHER        ;
2162679246615275264;315.66755;+45.09280; 32; 28; 29;   2.113050;16.279;17.227;15.273;  0.083; 0.046; 1.404; 0.157;   1.558; 0.999;DCEP_F       ;N
2203988169026743936;329.46631;+61.01885; 26; 25; 26;   2.114130; 7.507; 8.052; 6.843;  1.133; 0.033; 1.230; 0.000;   0.000; 0.875;DCEP_1O      ;
 524799786155513984;018.62522;+64.65289; 34; 29; 27;   2.118850;12.538;13.451;11.594;  0.092; 0.033; 1.341; 0.000;   0.000; 0.961;DCEP_1O      ;N
6869460685678439040;293.64445;-19.36112; 17; 16; 16;   2.119010;12.863;13.108;12.446;  0.177; 0.031; 1.218; 0.000;   0.000; 0.882;BLHER        ;
 200016111582079744;073.82548;+39.97972; 28; 22; 22;   2.120610;13.351;13.947;12.580;  0.071; 0.040; 1.251; 0.000;   0.000; 1.136;DCEP_F       ;
3425495186047291136;092.58065;+24.02085; 18; 16; 17;   2.137540;10.494;10.996; 9.848;  0.253; 0.033; 1.229; 0.000;   0.000; 1.007;DCEP_1O      ;
 394818721274314112;006.58105;+51.28034; 45; 45; 46;   2.138450; 7.585; 7.933; 7.147;  0.915; 0.046; 1.173; 0.000;   0.000; 0.973;DCEP_MULTI   ;
5956503058396476928;267.87424;-42.22051; 15; 14; 15;   2.441200;15.204;15.667;14.558;  0.030; 0.058; 1.223; 0.000;   0.000; 1.039;BLHER        ;
5826821125045485568;231.41410;-63.90401; 31; 25; 27;   2.143240;17.861;18.613;16.877;  0.465; 0.127; 1.409; 0.258;   0.808; 1.036;OTHER        ;
5613411827982576768;112.81549;-25.90739; 42; 34; 35;   2.148100;11.576;12.041;10.967;  0.227; 0.027; 1.279; 0.000;   0.000; 1.122;DCEP_F       ;
2078440919152781440;297.98458;+42.36984; 26; 25; 25;   2.149100;16.684;17.484;15.812;  0.363; 0.068; 1.307; 0.000;   0.000; 0.970;OTHER        ;
4048087421869545344;277.28079;-29.37656; 15; 15; 12;   2.157060;14.790;15.186;14.116;  0.094; 0.039; 1.309; 0.000;   0.000; 1.097;BLHER        ;N
4767484964954044544;087.95841;-55.74149; 23; 18; 17;   2.169240;15.356;15.646;14.922;  0.039; 0.028; 1.204; 0.000;   0.000; 0.907;DCEP_1O      ;N
5279973240241242624;099.15245;-68.44438; 23; 23; 21;   2.169890;17.274;17.543;16.837;  0.069; 0.076; 1.237; 0.000;   0.000; 0.963;ACEP_F       ;
5912554513440283136;262.37061;-59.90063; 22; 21; 20;   2.175220;10.798;11.221;10.297;  0.207; 0.038; 1.256; 0.000;   0.000; 0.979;---          ;
4690719846243518208;018.54532;-70.98892; 29; 26; 26;   2.176400;15.989;16.226;15.606;  0.040; 0.042; 1.196; 0.056;   0.216; 1.042;DCEP_1O      ;
2930223059544294912;111.42332;-19.89666; 61; 58; 59;   2.177730;11.206;11.756;10.526;  0.181; 0.034; 1.249; 0.000;   0.000; 1.147;DCEP_1O      ;
1824960745472142464;296.56720;+19.66684; 38; 30; 32;   2.180720;14.624;15.428;13.694;  0.176; 0.026; 1.331; 0.000;   0.000; 1.055;BLHER        ;
 543759459725179136;055.43973;+73.08693; 32; 29; 30;   2.181320;16.455;16.864;15.851;  0.061; 0.061; 1.265; 0.000;   0.000; 1.032;ACEP_F       ;N
6033332704705238016;255.34156;-27.33717; 40; 36; 33;   2.186890;14.779;15.214;14.157;  0.053; 0.039; 1.239; 0.000;   0.000; 1.026;BLHER        ;N
5611675694812770176;113.56309;-28.62465; 35; 30; 31;   2.189380;12.968;13.505;12.277;  0.033; 0.022; 1.249; 0.000;   0.000; 1.158;DCEP_1O      ;
6034683832659675392;253.16246;-25.83218; 30; 23; 21;   2.194870;18.244;18.867;17.413;  0.299; 0.187; 1.310; 0.103;   0.095; 0.995;OTHER        ;
4331228025550606848;248.84936;-11.54889; 49; 47; 46;   2.201280;14.846;15.407;14.134;  0.101; 0.036; 1.316; 0.000;   0.000; 1.010;BLHER        ;
3026471318138219392;113.05896;-18.73161; 64; 62; 56;   2.209810;11.231;11.291;11.123;  0.773; 0.064; 1.160; 0.200;  24.680; 1.252;OTHER        ;
 642190626859164800;149.02813;+23.51035; 17; 14; 12;   2.209960;16.271;16.565;15.768; -0.061; 0.084; 1.222; 0.000;   0.000; 0.996;BLHER        ;
1857884212378132096;312.86770;+28.25048; 23; 25; 26;   4.435460; 5.459; 5.766; 5.073;  1.674; 0.089; 0.838; 0.334;  55.495; 0.988;DCEP_F       ;
1149625757159314688;104.94074;+83.39206; 32; 27; 28;   2.218270;16.208;16.647;15.594;  0.194; 0.045; 1.238; 0.000;   0.000; 1.066;OTHER        ;
5918039491609445760;267.10333;-59.17780; 22; 22; 22;   2.233520;12.455;12.827;11.885;  0.185; 0.036; 1.229; 0.000;   0.000; 1.078;BLHER        ;
5251882921501101312;158.02003;-63.67476; 28; 28; 29;   2.235840;15.838;16.212;15.259; -0.015; 0.037; 1.261; 0.000;   0.000; 1.037;DCEP_1O      ;N
2012795539493397760;359.35279;+62.14597; 37; 37; 36;   2.255750;14.558;14.849;14.090;  0.288; 0.024; 1.216; 0.000;   0.000; 1.029;OTHER        ;
5950119117739256704;261.28082;-48.57634; 22; 19; 20;   2.264320;13.325;13.713;12.739;  0.120; 0.028; 1.265; 0.000;   0.000; 1.201;BLHER        ;
4188140876549643008;291.51995;-10.90859; 16; 14; 15;   1.624540;11.738;12.151;11.202;  0.567; 0.053; 1.259; 0.000;   0.000; 1.051;BLHER        ;
2048202592752935808;295.01281;+35.70907; 29; 23; 23;   2.277990;18.328;18.933;17.448;  0.158; 0.160; 1.386; 0.476;   1.497; 1.083;OTHER        ;
3113605965370125184;102.33044;+00.33087; 14; 12; 12;   2.279830;11.446;11.729;10.917;  0.226; 0.041; 1.221; 0.000;   0.000; 0.744;OTHER        ;
6755189954031860864;297.03057;-26.15886; 29; 25; 24;   2.283440;13.889;14.140;13.451;  0.025; 0.031; 1.228; 0.000;   0.000; 1.108;---          ;
4301032859295314816;294.82520;+07.85271; 30; 26; 30;   2.298100;17.654;18.465;16.725;  0.274; 0.141; 1.337; 0.000;   0.000; 1.016;OTHER        ;
5256605839340504576;149.84616;-60.33354; 28; 25; 25;   2.302930;14.615;15.231;13.858;  0.020; 0.022; 1.268; 0.000;   0.000; 0.989;DCEP_F       ;N
6057943520139661184;186.29705;-61.34817; 39; 34; 36;   2.305690; 9.771;10.319; 9.096;  0.396; 0.033; 1.193; 0.000;   0.000; 1.094;DCEP_1O      ;
4365623394967300992;254.28149;-04.09514; 40; 39; 39;   2.307330;13.713;14.107;12.981; -0.047; 0.072; 1.352; 0.422;  54.984; 3.192;BLHER        ;N
2036524237372503168;287.75511;+27.13105; 33; 29; 31;   2.308420;17.659;18.384;16.773;  0.183; 0.107; 1.329; 0.168;   0.479; 0.998;OTHER        ;
 228673477705878400;063.37936;+41.31878; 28; 27; 27;   2.312440;14.043;14.745;13.230;  0.041; 0.031; 1.292; 0.000;   0.000; 1.035;DCEP_F       ;
5979303734066723456;260.44852;-33.08022; 17; 18; 18;   2.314770;10.449;11.083; 9.681;  0.671; 0.046; 1.246; 0.000;   0.000; 1.128;OTHER        ;
2775393199362630016;010.25364;+11.42924; 39; 32; 31;   2.314800;16.101;16.427;15.607; -0.001; 0.065; 1.242; 0.000;   0.000; 0.964;BLHER        ;
2949440564287527552;104.71105;-13.73667; 19; 18; 18;   2.325960;11.924;12.499;11.208;  0.188; 0.035; 1.256; 0.000;   0.000; 0.876;DCEP_1O      ;
5628635219297382272;134.38839;-32.37793; 45; 38; 37;   2.329360;16.928;17.487;16.206;  0.128; 0.069; 1.267; 0.176;   1.289; 1.224;OTHER        ;
6377896696484508544;355.61170;-75.25641; 34; 32; 31;   2.330450;17.061;17.338;16.698; -0.125; 0.071; 1.274; 0.196;   1.079; 1.075;DCEP_F       ;
5521137101325930624;122.45845;-43.97272; 25; 22; 22;   2.342150;14.332;14.880;13.647;  0.124; 0.026; 1.255; 0.000;   0.000; 1.066;DCEP_F       ;
1965415590579536128;321.45140;+39.91051; 35; 31; 31;   2.343500;16.242;16.742;15.540; -0.060; 0.047; 1.293; 0.000;   0.000; 1.037;BLHER        ;N
1369239289113497344;237.03940;+30.91083; 43; 41; 40;   2.353340;14.981;15.492;14.302;  0.551; 0.025; 1.253; 0.000;   0.000; 1.071;OTHER        ;
6356740134261172864;325.78500;-76.03843; 30; 30; 29;   2.353820;16.997;17.311;16.465;  0.096; 0.067; 1.238; 0.124;   0.446; 1.084;CEP          ;N
1016530836688891008;135.60245;+51.56857; 36; 34; 35;   2.357530;15.906;16.630;15.062;  0.400; 0.058; 1.307; 0.000;   0.000; 1.012;OTHER        ;
5521712145909463680;128.16223;-46.79047; 28; 23; 22;   2.366000;15.357;16.184;14.358;  0.753; 0.097; 1.432; 0.811;  70.261; 2.951;DCEP_F       ;
5534744416711687424;119.86019;-40.02830; 30; 28; 27;   2.368190;14.810;15.546;13.921;  0.123; 0.022; 1.352; 0.000;   0.000; 0.968;DCEP_F       ;N
4688062360997085440;021.38773;-70.75956; 28; 22; 26;   2.377590;16.599;17.055;16.333;  0.003; 0.064; 1.227; 0.000;   0.000; 1.024;DCEP_F       ;
4444269090879938688;253.96336;+09.67250; 29; 25; 25;   2.397600;13.899;14.205;13.405;  0.081; 0.024; 1.219; 0.000;   0.000; 1.097;ACEP_F       ;
5310255272261039488;138.08441;-55.23391; 42; 39; 39;   2.397640;14.442;15.103;13.648;  0.055; 0.022; 1.305; 0.000;   0.000; 1.055;DCEP_F       ;
5877460679352962048;221.67487;-61.46196; 41; 40; 38;   2.398120; 7.288; 7.734; 6.695;  0.995; 0.040; 1.212; 0.000;   0.000; 1.107;DCEP_1O      ;
3157950918582624256;104.70966;+09.62273; 19; 16; 18;   2.398150; 9.227; 9.554; 8.779;  0.278; 0.042; 1.221; 0.000;   0.000; 0.847;DCEP_1O      ;
4389884359553618688;260.18446;+03.64324; 24; 23; 23;   2.399670;13.161;14.066;12.265;  0.022; 0.026; 1.329; 0.000;   0.000; 1.252;OTHER        ;
2993142097039043840;092.50939;-15.16099; 34; 26; 30;   2.403550;16.860;17.131;16.468;  0.269; 0.079; 1.179; 0.000;   0.000; 0.958;OTHER        ;
4330948165482558592;249.62238;-12.12483; 52; 46; 49;   2.404320;16.000;16.497;15.311;  0.006; 0.057; 1.252; 0.000;   0.000; 1.079;ACEP_F       ;
2178369930368001536;324.20688;+57.37417; 38; 40; 40;   2.409030;15.232;16.126;14.277;  1.016; 0.026; 1.359; 0.000;   0.000; 1.030;OTHER        ;
1785352625740690432;321.00100;+18.27877; 20; 18; 19;   2.412840; 9.024; 9.459; 8.467;  1.674; 0.045; 1.228; 0.000;   0.000; 1.099;BLHER        ;
5852915353554740864;215.57569;-63.99848; 49; 45; 45;   2.419970;14.913;15.707;13.991;  0.157; 0.027; 1.330; 0.000;   0.000; 0.970;ACEP_F       ;
4650132886338231296;088.06762;-74.12767; 30; 25; 26;   2.421050;15.932;16.277;15.493; -0.049; 0.033; 1.219; 0.000;   0.000; 0.935;DCEP_1O      ;
3134002107923090944;101.39057;+07.81629; 15; 13; 13;   2.426840;12.816;13.739;12.104;  0.199; 0.032; 1.255; 0.000;   0.000; 0.828;DCEP_F       ;
5786857274694422144;212.41339;-77.24827; 26; 25; 23;   2.427300;14.866;15.323;14.249;  0.487; 0.031; 1.232; 0.000;   0.000; 1.017;OTHER        ;
5824226655600824704;232.70754;-65.59936; 59; 57; 55;   2.428290; 7.582; 8.018; 7.021;  0.889; 0.032; 1.199; 0.000;   0.000; 1.037;DCEP_1O      ;
 156797882903836544;074.02711;+29.75393; 32; 23; 21;   2.428610;16.804;17.033;16.395;  0.284; 0.095; 1.216; 0.000;   0.000; 0.961;OTHER        ;
1416196166560095104;259.60490;+52.92470; 23; 21; 21;   2.429790;11.532;11.987;10.698;  2.718; 0.050; 1.437; 0.159;  10.709; 1.658;---          ;
5257722221591844480;147.63941;-58.85915; 37; 31; 30;   2.442120;14.620;15.511;13.660;  0.059; 0.021; 1.350; 0.000;   0.000; 0.976;DCEP_1O      ;N
4445130042844217216;249.98383;+07.67920; 36; 33; 34;   2.448370;15.834;16.151;15.318; -0.029; 0.054; 1.220; 0.000;   0.000; 1.048;DCEP_F       ;
6516492301829828992;342.48220;-46.35802; 37; 35; 35;   2.453350;13.436;13.728;12.975;  0.041; 0.026; 1.226; 0.000;   0.000; 1.041;BLHER        ;
4330973900926628352;249.66383;-11.99183; 51; 49; 49;   2.456720;15.462;16.030;14.643; -0.020; 0.047; 1.317; 0.000;   0.000; 1.037;BLHER        ;N
5945385346530755584;269.01064;-52.32732; 28; 23; 23;   2.457400;15.864;16.336;15.240;  0.343; 0.058; 1.245; 0.000;   0.000; 1.018;OTHER        ;
1865228537734352896;317.06710;+32.74552; 51; 49; 51;   2.458610;14.111;14.561;13.499;  0.028; 0.020; 1.227; 0.000;   0.000; 0.957;DCEP_F       ;
6698269577088851584;299.05060;-36.14443; 24; 20; 21;   2.464400;15.125;15.801;14.257;  0.720; 0.035; 1.311; 0.000;   0.000; 1.043;OTHER        ;
1865641610512400000;313.40730;+31.82596; 37; 31; 31;   2.469230;17.488;18.093;16.706;  0.025; 0.098; 1.289; 0.020;   0.008; 1.027;BLHER        ;N
4650211741937480192;086.25630;-73.56541; 30; 25; 26;   2.471000;16.366;16.638;15.804; -0.020; 0.040; 1.220; 0.076;   0.325; 1.041;DCEP_F       ;
5241536688894529408;162.42510;-62.63364; 31; 28; 27;   2.471370;14.515;15.254;13.619; -0.107; 0.029; 1.347; 0.171;   4.843; 1.406;DCEP_1O      ;N
 207722317998325632;080.88983;+44.76008; 27; 27; 26;   2.476850;12.750;13.455;11.929;  0.141; 0.051; 1.284; 0.000;   0.000; 1.076;DCEP_F       ;
5311598634949142400;139.31963;-53.08485; 37; 33; 34;   2.481650;10.408;10.924; 9.756;  0.209; 0.025; 1.226; 0.000;   0.000; 1.052;DCEP_1O      ;
5716848899758250624;114.86819;-18.80116; 37; 37; 36;   2.485180;14.404;14.778;13.844;  0.218; 0.031; 1.234; 0.000;   0.000; 0.937;OTHER        ;
5546003793739552896;119.74495;-34.07069; 35; 33; 32;   2.488120;14.636;15.519;13.681;  0.077; 0.024; 1.356; 0.000;   0.000; 1.084;DCEP_1O      ;N
 523700107035878272;014.38545;+63.15643; 39; 32; 31;   2.488370;13.959;14.892;13.007;  0.146; 0.020; 1.373; 0.000;   0.000; 1.077;DCEP_F       ;
6637934907307759360;285.58070;-55.78799; 24; 24; 23;   2.493570;13.322;13.913;12.583;  1.246; 0.148; 1.257; 0.923; 223.546; 7.155;OTHER        ;
5596920115637629184;119.15388;-30.95279; 34; 27; 26;   2.494480;13.912;14.767;12.993;  0.111; 0.019; 1.337; 0.000;   0.000; 1.065;DCEP_F       ;N
1853025642297186688;316.62600;+31.18464; 61; 65; 64;   2.499300; 5.615; 5.926; 5.201;  1.706; 0.055; 1.153; 0.237;  39.214; 0.880;DCEP_1O      ;
5533567316490181760;122.20646;-41.75668; 30; 25; 28;   2.499360;18.028;18.424;17.381;  0.129; 0.131; 1.259; 0.000;   0.000; 0.904;OTHER        ;
 423454573911964544;014.33352;+55.43883;105; 99; 98;   2.499590;14.005;14.572;13.288;  0.082; 0.027; 1.261; 0.000;   0.000; 1.116;BLHER        ;
4757183606166564864;083.55789;-63.16699; 27; 24; 24;   2.501460;16.097;16.402;15.608;  0.026; 0.033; 1.232; 0.000;   0.000; 1.084;DCEP_F       ;
3028237786647550464;112.35338;-15.97682; 27; 26; 24;   2.503630;12.769;13.677;11.821;  0.177; 0.036; 1.341; 0.000;   0.000; 1.182;DCEP_1O      ;
4103509886016136064;280.58972;-14.74585; 17; 14; 13;   2.505670;14.428;15.385;13.393;  0.295; 0.034; 1.375; 0.000;   0.000; 0.922;OTHER        ;
